<<<<<<< HEAD
abandon   v.Å×Æú£¬·ÅÆú
abandonment   n.·ÅÆú
abbreviation   n.ËõÐ´
abeyance   n.»º°ì£¬ÖÐÖ¹
abide   v.×ñÊØ
ability   n.ÄÜÁ¦
able   adj.ÓÐÄÜÁ¦µÄ£¬ÄÜ¸ÉµÄ
abnormal   adj.·´³£µÄ£¬±äÌ¬µÄ
aboard   adv.´¬(³µ)ÉÏ
abolish   v.·Ï³ý£¬È¡Ïû
abolition   n.·Ï³ý£¬È¡Ïû
abortion   n.Á÷²ú
abortive   adj.ÎÞÐ§¹ûµÄ£¬Ê§°ÜµÄ
about   prep.¹ØÓÚ£¬´óÔ¼
above   prep.ÔÚ...Ö®ÉÏ£¬¸ßÓÚ
above-mentioned   adj.ÉÏÊöµÄ
abreast   adv.²¢¼ç£¬²¢ÁÐ
abridge   v.Ê¡ÂÔ£¬ÕªÒª
abroad   adv.¹úÍâ£¬º£Íâ
abrogate   v.È¡Ïû£¬·Ï³ý
abrogation   n.È¡Ïû£¬·Ï³ý
abrupt   adj.Í»È»µÄ£¬ÉúÓ²µÄ
abruptly   adv.Í»È»µØ
absence   n.È±Ï¯£¬È±·¦
absent   adj.È±Ï¯µÄ£¬²»´æÔÚ
absent-minded   adj.ÐÄ²»ÔÚÑÉµÄ
absolute   adj.ÍêÈ«µÄ£¬¾ø¶ÔµÄ
absolutely   adv.¾ø¶Ô£¬ÍêÈ«
absorb   v.ÎüÊÕ£¬×¨ÐÄÓÚ
absorption   n.ÎüÊÕ£¬×¨×¢
abstract   adj.³éÏóµÄ£¬ÄÑ¶®µÄ
abstraction   n.³éÏó£¬ÌáÈ¡
absurd   adj.»ÄÌÆµÄ
absurdity   n.»ÄÌÆ(ÊÂ)
abundance   n.·á¸»£¬´óÁ¿
abundant   adj.·á¸»µÄ£¬³äÔ£µÄ
abuse   v.ÀÄÓÃ£¬Ã¡Âî
abasement   n.ÀÄÓÃ
academic   adj.Ñ§ÔºµÄ£¬Ñ§ÊõµÄ
academy   n.Ñ§Ôº£¬ÑÐ¾¿Ôº
accede   v.Í¬Òâ
accelerate   v.¼ÓËÙ£¬¼Ó¿ì
acceleration   v.¼ÓËÙ£¬´Ù½ø
accent   n.Ç»µ÷ v.ÖØ¶Á
accept   v.½ÓÊÜ£¬Í¬Òâ
acceptable   adj.¿É½ÓÊÜµÄ£¬ºÏÒâµÄ
acceptance   n.½ÓÊÜ£¬³Ð¶Ò
access   n.½Ó½ü£¬Èë¿Ú
accessible   adj.¿É½Ó½üµÄ
accessory   n.¸½¼þ£¬×°ÊÎÆ·
accident   n.ÊÂ¹Ê£¬ÒâÍâÖ®ÊÂ
accidental   adj.ÒâÍâµÄ£¬Å¼È»µÄ
accidentally   adv.Å¼¶û£¬¸½´ø
accommodate   v.Ìá¹©±ãÀû£¬²ð½è
accommodation   n.±ãÀû£¬Í¨ÈÚ
accompaniment   n.°éÂÂ£¬°é×à
accompany   v.°éËæ£¬°é×à
accomplish   v.Íê³É£¬´ïµ½
accomplishment   n.³É¾Í
accord   v.·ûºÏ£¬Ð­µ÷
accordance   n.°´ÕÕ£¬Óë...Ò»ÖÂ
according   adj.°´ÕÕ£¬¾Ý...Ëµ
accordingly   adj.ÏàÓ¦µØ£¬´Ó¶ø
account   n.ÕËÄ¿ v.ËµÃ÷
accountant   n.»á¼Æ(Ê¦)
accounting   n.»á¼ÆÑ§
accrue   v.²úÉú£¬·¢Éú
accrued   adj.ÔöÖµµÄ£¬Ó¦¼ÆµÄ
accumulate   v.»ýÀÛ£¬»ýÐî
